ISO 8601 Date Time,Top of Conservation (ac-ft),Top of Conservation (ac-ft) notes,Storage (ac-ft),Storage (ac-ft) notes,Elevation (ft),Elevation (ft) notes,Inflow (cfs),Inflow (cfs) notes,Outflow (cfs),Outflow (cfs) notes, Precip @ Dam (in), Precip @ Dam (in) notes,Gross Pool,Gross Pool(elev)
2019-08-30T24:00:00-07:00,520499.98,0,411839.00,0,554.35,0,2322.00,0,3206.00,0,0.00,0,-,-
2019-08-31T24:00:00-07:00,520499.98,0,410466.00,0,554.03,0,2143.00,0,2778.00,0,0.00,0,520500.00,578.00
2019-09-01T24:00:00-07:00,520499.98,0,409953.00,0,553.91,0,2613.00,0,2819.00,0,0.00,0,520500.00,578.00
2019-09-02T24:00:00-07:00,520499.98,0,408206.00,0,553.50,0,2324.00,0,3153.00,0,0.00,0,520500.00,578.00
2019-09-03T24:00:00-07:00,520499.98,0,406756.00,0,553.16,0,2730.00,0,3407.00,0,0.00,0,520500.00,578.00
2019-09-04T24:00:00-07:00,520499.98,0,405820.00,0,552.94,0,3068.00,0,3467.00,0,0.00,0,520500.00,578.00
2019-09-05T24:00:00-07:00,520499.98,0,403787.00,0,552.46,0,2427.00,0,3415.00,0,0.00,0,520500.00,578.00
2019-09-06T24:00:00-07:00,520499.98,0,403532.00,0,552.40,0,3019.00,0,3092.00,0,0.00,0,520500.00,578.00
2019-09-07T24:00:00-07:00,520499.98,0,402516.00,0,552.16,0,2291.00,0,2736.00,0,0.00,0,520500.00,578.00
2019-09-08T24:00:00-07:00,520499.98,0,402262.00,0,552.10,0,2661.00,0,2732.00,0,0.00,0,520500.00,578.00
2019-09-09T24:00:00-07:00,520499.98,0,400070.00,0,551.58,0,1842.00,0,2905.00,0,0.00,0,520500.00,578.00
2019-09-10T24:00:00-07:00,520499.98,0,397923.00,0,551.07,0,1863.00,0,2899.00,0,0.00,0,520500.00,578.00
2019-09-11T24:00:00-07:00,520499.98,0,395077.00,0,550.39,0,1662.00,0,3066.00,0,0.00,0,520500.00,578.00
2019-09-12T24:00:00-07:00,520499.98,0,392946.00,0,549.88,0,2061.00,0,3086.00,0,0.00,0,520500.00,578.00
2019-09-13T24:00:00-07:00,520499.98,0,391278.00,0,549.48,0,1899.00,0,2692.00,0,0.00,0,520500.00,578.00
