Year,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Total
1922,11,10,59,66,99,105,205,685,758,266,69,24,2355
1923,13,28,84,63,66,97,221,506,304,194,50,28,1654
1924,28,16,14,14,21,26,95,164,35,17,9,6,444
1925,10,26,27,27,85,101,219,419,313,146,53,13,1439
1926,20,16,21,17,57,96,347,378,146,43,12,7,1161
1927,6,56,50,47,155,151,275,508,496,197,48,15,2001
1928,20,69,33,33,48,150,189,373,176,44,14,6,1154
1929,9,10,15,16,23,65,107,309,211,75,19,5,862
1930,5,6,8,18,36,80,165,214,244,61,17,6,859
1931,11,13,10,16,23,39,100,174,60,16,11,7,480
1932,6,8,72,59,168,157,238,492,544,239,51,15,2047
1933,13,9,15,27,30,73,159,213,410,119,29,15,1111
1934,7,10,38,47,50,109,166,146,69,27,13,8,692
1935,13,27,36,73,85,111,357,497,519,144,44,19,1923
1936,14,16,16,38,196,164,349,510,348,151,42,11,1853
1937,11,13,36,35,253,191,304,705,457,160,34,11,2208
1938,10,12,211,71,207,434,434,795,913,431,128,43,3688
1939,39,33,29,33,43,103,240,209,110,43,25,14,921
1940,35,14,11,134,140,210,290,559,363,97,21,7,1881
1941,10,12,98,106,183,209,242,711,642,331,86,23,2653
1942,22,30,96,113,103,129,299,466,633,284,65,17,2254
1943,10,43,43,170,113,268,335,503,325,179,50,16,2054
1944,11,15,20,31,55,112,141,408,280,143,35,16,1265
1945,13,58,56,44,238,148,276,477,488,240,74,27,2138
1946,59,66,118,79,54,126,310,464,280,118,37,19,1730
1947,29,65,85,48,64,100,171,348,146,43,17,12,1126
1948,23,18,15,19,20,43,165,391,373,108,26,15,1215
1949,11,8,15,16,26,73,235,410,268,63,26,15,1164
1950,10,16,17,43,90,90,280,379,263,87,22,14,1311
1951,17,247,300,111,104,119,202,322,278,115,32,12,1859
1952,12,20,83,133,99,177,385,820,641,335,101,33,2840
1953,17,19,43,85,48,72,197,211,320,172,30,13,1227
1954,9,17,17,33,65,127,278,440,218,80,20,9,1314
1955,6,18,31,42,49,74,127,338,348,88,30,11,1161
1956,6,13,461,271,141,170,278,568,614,318,87,34,2960
1957,26,22,21,30,67,90,142,327,440,115,32,16,1327
1958,16,19,43,43,113,181,363,796,622,288,108,41,2631
1959,16,15,15,37,89,114,203,209,153,41,17,42,949
1960,18,9,10,18,55,86,178,240,148,43,17,8,829
1961,8,22,31,19,31,49,124,172,128,27,25,10,647
1962,10,15,23,23,185,110,381,397,505,203,52,20,1924
1963,18,11,11,82,208,101,192,464,492,265,71,31,1945
1964,26,64,36,31,30,52,127,257,200,60,29,11,922
1965,10,34,204,188,114,128,250,432,473,267,138,35,2272
1966,18,101,66,62,56,126,277,362,148,51,25,9,1299
1967,6,29,213,92,101,243,250,660,823,595,154,67,3232
1968,27,23,34,37,75,83,146,231,131,44,22,9,862
1969,15,40,52,396,234,227,464,1096,874,463,137,41,4040
1970,33,32,47,159,83,137,146,376,279,107,37,11,1446
1971,10,39,73,75,72,110,172,293,365,141,48,22,1418
1972,13,26,58,41,50,138,124,268,213,47,16,45,1039
1973,20,34,47,82,128,131,248,708,463,127,45,15,2047
1974,21,88,82,138,66,210,267,597,482,162,60,20,2191
1975,19,17,32,37,76,136,131,546,575,161,41,26,1796
1976,49,33,24,18,38,59,82,174,60,35,24,35,629
1977,20,10,7,12,15,19,57,75,111,20,11,4,362
1978,6,9,80,159,196,326,346,697,826,462,149,146,3402
1979,34,30,33,96,101,183,243,599,339,114,42,17,1830
1980,24,29,34,327,282,216,315,528,642,426,113,37,2973
1981,24,19,29,36,57,87,206,318,208,51,19,13,1068
1982,19,70,65,119,199,231,613,725,585,371,148,170,3316
1983,126,146,212,227,271,428,280,728,1166,686,280,92,4642
1984,53,149,227,126,107,162,203,489,266,162,67,36,2049
1985,31,50,41,40,56,84,254,308,169,55,22,19,1129
1986,24,38,68,93,472,426,361,624,593,222,76,32,3031
1987,24,14,15,21,40,66,172,229,121,33,15,10,758
1988,16,24,25,59,48,91,153,220,142,49,23,12,862
1989,7,14,20,22,37,133,237,240,149,41,19,19,939
1990,23,22,17,25,34,85,173,165,122,54,14,8,743
1991,8,6,9,10,11,118,135,277,321,102,24,13,1034
1992,12,19,18,21,68,77,209,238,76,46,17,9,809
1993,13,17,32,189,124,243,330,701,599,317,82,26,2673
1994,19,17,21,23,42,75,150,258,159,36,14,12,826
1995,43,45,48,213,122,485,350,634,881,752,239,66,3878
1996,24,15,50,70,229,222,333,589,412,184,55,18,2203
1997,18,99,213,735,181,219,302,539,280,130,44,21,2782
1998,18,24,36,102,210,232,288,446,886,686,159,72,3160
1999,36,39,50,69,111,102,182,446,337,105,32,17,1527
2000,12,12,16,80,155,164,280,530,351,91,37,15,1742
2001,20,17,16,26,42,126,188,445,115,47,13,10,1065
2002,10,22,58,64,57,94,247,323,223,53,13,8,1171
2003,7,62,45,62,60,109,158,436,375,89,34,12,1450
2004,8,14,44,48,69,192,223,284,173,55,13,7,1131
2005,36,41,58,165,133,226,257,818,662,343,73,17,2830
2006,18,22,110,163,113,198,498,884,763,326,64,23,3181
2007,20,14,26,24,47,96,137,197,71,25,14,11,684
2008,10,9,17,58,72,102,176,351,230,68,16,8,1117
2009,10,43,26,75,82,139,231,492,223,96,28,10,1455
2010,54,22,41,71,101,142,222,383,687,243,47,16,2029
2011,60,53,225,153,114,277,393,545,828,477,133,47,3305
2012,48,29,19,39,35,75,209,244,77,28,22,6,832
2013,11,28,88,52,45,96,190,200,96,33,13,5,857
2014,9,10,14,11,23,46,112,161,77,26,15,6,510
