month_day,day_of_year,mean_inflow,std_inflow
01-01,1,1255.3658536585365,1069.8528580159414
01-02,2,1255.3658536585365,1069.8528580159414
01-03,3,1255.3658536585365,1069.8528580159414
01-04,4,1255.3658536585365,1069.8528580159414
01-05,5,1255.3658536585365,1069.8528580159414
01-06,6,1255.3658536585365,1069.8528580159414
01-07,7,1255.3658536585365,1069.8528580159414
01-08,8,1943.560975609756,2979.440577094805
01-09,9,1943.560975609756,2979.440577094805
01-10,10,1943.560975609756,2979.440577094805
01-11,11,1943.560975609756,2979.440577094805
01-12,12,1943.560975609756,2979.440577094805
01-13,13,1943.560975609756,2979.440577094805
01-14,14,1943.560975609756,2979.440577094805
01-15,15,1765.4285714285713,1966.8638915655174
01-16,16,1765.4285714285713,1966.8638915655174
01-17,17,1765.4285714285713,1966.8638915655174
01-18,18,1765.4285714285713,1966.8638915655174
01-19,19,1765.4285714285713,1966.8638915655174
01-20,20,1765.4285714285713,1966.8638915655174
01-21,21,1765.4285714285713,1966.8638915655174
01-22,22,1181.5,796.208492428104
01-23,23,1181.5,796.208492428104
01-24,24,1181.5,796.208492428104
01-25,25,1181.5,796.208492428104
01-26,26,1181.5,796.208492428104
01-27,27,1181.5,796.208492428104
01-28,28,1181.5,796.208492428104
01-29,29,1100.8809523809523,663.8166879780106
01-30,30,1100.8809523809523,663.8166879780106
01-31,31,1100.8809523809523,663.8166879780106
02-01,32,1100.8809523809523,663.8166879780106
02-02,33,1100.8809523809523,663.8166879780106
02-03,34,1100.8809523809523,663.8166879780106
02-04,35,1100.8809523809523,663.8166879780106
02-05,36,1103.6904761904761,872.856691729707
02-06,37,1103.6904761904761,872.856691729707
02-07,38,1103.6904761904761,872.856691729707
02-08,39,1103.6904761904761,872.856691729707
02-09,40,1103.6904761904761,872.856691729707
02-10,41,1103.6904761904761,872.856691729707
02-11,42,1103.6904761904761,872.856691729707
02-12,43,1516.4761904761904,1020.6931943440474
02-13,44,1516.4761904761904,1020.6931943440474
02-14,45,1516.4761904761904,1020.6931943440474
02-15,46,1516.4761904761904,1020.6931943440474
02-16,47,1516.4761904761904,1020.6931943440474
02-17,48,1516.4761904761904,1020.6931943440474
02-18,49,1516.4761904761904,1020.6931943440474
02-19,50,1571.904761904762,877.0771529186546
02-20,51,1571.904761904762,877.0771529186546
02-21,52,1571.904761904762,877.0771529186546
02-22,53,1571.904761904762,877.0771529186546
02-23,54,1571.904761904762,877.0771529186546
02-24,55,1571.904761904762,877.0771529186546
02-25,56,1571.904761904762,877.0771529186546
02-26,57,1523.075,1076.994735779816
02-27,58,1523.075,1076.994735779816
02-28,59,1523.075,1076.994735779816
03-01,60,1523.075,1076.994735779816
03-02,61,1523.075,1076.994735779816
03-03,62,1523.075,1076.994735779816
03-04,63,1523.075,1076.994735779816
03-05,64,2723.0238095238096,5830.943941020332
03-06,65,2723.0238095238096,5830.943941020332
03-07,66,2723.0238095238096,5830.943941020332
03-08,67,2723.0238095238096,5830.943941020332
03-09,68,2723.0238095238096,5830.943941020332
